,user_id,movie_id,rating,unix_timestamp
700,2,292,4,888550774
924,2,251,5,888552084
1052,2,50,5,888552084
3425,2,314,1,888980085
5063,2,297,4,888550871
5324,2,290,3,888551441
6310,2,312,3,888550631
7519,2,281,3,888980240
7973,2,13,4,888551922
8253,2,280,3,888551441
9201,2,303,4,888550774
9980,2,308,3,888979945
10683,2,307,3,888550066
11989,2,257,4,888551062
12150,2,316,5,888979693
13440,2,315,1,888550774
16025,2,301,4,888550631
16198,2,313,5,888552084
16230,2,279,4,888551745
16596,2,299,4,888550774
16823,2,298,3,888551441
17425,2,19,3,888550871
20376,2,277,4,888551174
20534,2,282,4,888551922
21631,2,111,4,888551853
21902,2,258,3,888549961
22582,2,295,4,888551164
24012,2,242,5,888552084
25216,2,283,5,888552084
25334,2,276,4,888551552
26184,2,1,4,888550871
27695,2,305,3,888550065
28341,2,14,4,888551853
29723,2,287,3,888551235
31688,2,291,3,888551647
34025,2,293,4,888550939
35337,2,294,1,888551648
35981,2,310,4,888979061
36334,2,309,1,888980029
37026,2,306,4,888550774
37408,2,25,4,888551648
38564,2,273,4,888551647
39562,2,10,2,888551853
42959,2,311,5,888552084
43447,2,269,4,888550774
43627,2,255,4,888551341
46011,2,284,4,888552017
48138,2,274,3,888551497
52964,2,237,4,888552017
54744,2,300,4,888979197
55790,2,100,5,888552084
59514,2,127,5,888552084
59823,2,285,5,888552084
69977,2,289,3,888979353
73282,2,304,4,888979197
76004,2,272,5,888979061
76183,2,278,3,888551647
77906,2,288,3,888550252
85606,2,286,4,888549960
88190,2,275,5,888550939
95677,2,302,5,888552084
97619,2,296,3,888550871
