,movie_id,ratting,user_id
0,1,4.0,2
1,10,2.0,2
2,13,4.0,2
3,14,4.0,2
4,19,3.0,2
5,25,4.0,2
6,50,5.0,2
7,100,5.0,2
8,111,4.0,2
9,127,5.0,2
10,237,4.0,2
11,242,5.0,2
12,251,5.0,2
13,255,4.0,2
14,257,4.0,2
15,258,3.0,2
16,269,4.0,2
17,272,5.0,2
18,273,4.0,2
19,274,3.0,2
20,275,5.0,2
21,276,4.0,2
22,277,4.0,2
23,278,3.0,2
24,279,4.0,2
25,280,3.0,2
26,281,3.0,2
27,282,4.0,2
28,283,5.0,2
29,284,4.0,2
30,285,5.0,2
31,286,4.0,2
32,287,3.0,2
33,288,3.0,2
34,289,3.0,2
35,290,3.0,2
36,291,3.0,2
37,292,4.0,2
38,293,4.0,2
39,294,1.0,2
40,295,4.0,2
41,296,3.0,2
42,297,4.0,2
43,298,3.0,2
44,299,4.0,2
45,300,4.0,2
46,301,4.0,2
47,302,5.0,2
48,303,4.0,2
49,304,4.0,2
50,305,3.0,2
51,306,4.0,2
52,307,3.0,2
53,308,3.0,2
54,309,1.0,2
55,310,4.0,2
56,311,5.0,2
57,312,3.0,2
58,313,5.0,2
59,314,1.0,2
60,315,1.0,2
61,316,5.0,2
